class_id,class_name,Instances,YOLOv11_baseline_Predictions,YOLOv11_baseline_Precision,YOLOv11_baseline_Recall,YOLOv11_baseline_AP50,YOLOv11_baseline_AP50-95,ECAFA_YOLO_Predictions,ECAFA_YOLO_Precision,ECAFA_YOLO_Recall,ECAFA_YOLO_AP50,ECAFA_YOLO_AP50-95,ECAFA_YOLO_KD_Predictions,ECAFA_YOLO_KD_Precision,ECAFA_YOLO_KD_Recall,ECAFA_YOLO_KD_AP50,ECAFA_YOLO_KD_AP50-95,AP50-95_improvement_ECAFA_vs_baseline,AP50-95_improvement_KD_vs_baseline,AP50-95_improvement_KD_vs_ECAFA,AP50_improvement_KD_vs_baseline,AP50_improvement_KD_vs_ECAFA
55,pcd,2,119,0.008403361344537815,0.5,0.49714285714285716,0.49714285714285716,220,0.00909090909090909,1.0,0.1809090909090909,0.13100909090909094,94,0.02127659574468085,1.0,0.995,0.746313829787234,-0.36613376623376626,0.24917097264437688,0.6153047388781431,0.49785714285714283,0.8140909090909091
129,pw4,1,56,0.017857142857142856,1.0,0.995,0.597,40,0.025,1.0,0.124375,0.06218749999999999,37,0.02702702702702703,1.0,0.995,0.597,-0.5348125,0.0,0.5348125,0.0,0.870625
108,ph3.5,1,47,0.02127659574468085,1.0,0.995,0.9949999999999999,67,0.014925373134328358,1.0,0.4975,0.44775,52,0.019230769230769232,1.0,0.995,0.8955,-0.5472499999999999,-0.09949999999999992,0.44775,0.0,0.4975
74,p8,2,74,0.013513513513513514,0.5,0.02594594594594595,0.023351351351351357,71,0.028169014084507043,1.0,0.03209677419354837,0.026834961381190358,50,0.02,0.5,0.5000999999999998,0.45008999999999977,0.003483610029839001,0.4267386486486484,0.4232550386188094,0.4741540540540538,0.4680032258064514
111,pl35,1,94,0.010638297872340425,1.0,0.995,0.796,119,0.008403361344537815,1.0,0.4975,0.398,32,0.03125,1.0,0.995,0.796,-0.398,0.0,0.398,0.0,0.4975
67,pw4.5,1,20,0.0,0.0,0.0,0.0,54,0.018518518518518517,1.0,0.02618421052631579,0.02356578947368421,51,0.0196078431372549,1.0,0.4975,0.398,0.02356578947368421,0.398,0.3744342105263158,0.4975,0.4713157894736842
103,w20,1,53,0.018867924528301886,1.0,0.0995,0.0796,42,0.023809523809523808,1.0,0.08291666666666667,0.06633333333333333,27,0.037037037037037035,1.0,0.4975,0.398,-0.013266666666666677,0.3184,0.33166666666666667,0.398,0.4145833333333333
110,pcl,12,326,0.027607361963190184,0.75,0.3003517368858366,0.25033805121143715,280,0.039285714285714285,0.9166666666666666,0.4165989014160444,0.3588952466327324,189,0.0582010582010582,0.9166666666666666,0.7372642857142857,0.6500826845238095,0.10855719542129527,0.3997446333123723,0.29118743789107704,0.4369125488284491,0.3206653842982413
58,ps,3,158,0.012658227848101266,0.6666666666666666,0.03405848432199884,0.024796077190369817,171,0.017543859649122806,1.0,0.11867441860465114,0.05426064871481027,93,0.03225806451612903,1.0,0.665,0.33124347670250903,0.02946457152444045,0.30644739951213923,0.27698282798769874,0.6309415156780012,0.5463255813953489
76,il50,6,27,0.14814814814814814,0.6666666666666666,0.6239333333333335,0.4937960000000001,38,0.13157894736842105,0.8333333333333334,0.4073986211863972,0.30399894201780114,34,0.17647058823529413,1.0,0.8467171717171719,0.5707498686868687,-0.18979705798219898,0.0769538686868686,0.2667509266690676,0.22278383838383842,0.4393185505307747
