class_id,class_name,Instances,YOLOv11_baseline_Predictions,YOLOv11_baseline_Precision,YOLOv11_baseline_Recall,YOLOv11_baseline_AP50,YOLOv11_baseline_AP50-95,ECAFA_YOLO_Predictions,ECAFA_YOLO_Precision,ECAFA_YOLO_Recall,ECAFA_YOLO_AP50,ECAFA_YOLO_AP50-95,ECAFA_YOLO_KD_Predictions,ECAFA_YOLO_KD_Precision,ECAFA_YOLO_KD_Recall,ECAFA_YOLO_KD_AP50,ECAFA_YOLO_KD_AP50-95,AP50-95_improvement_ECAFA_vs_baseline,AP50-95_improvement_KD_vs_baseline,AP50-95_improvement_KD_vs_ECAFA,AP50_improvement_KD_vs_baseline,AP50_improvement_KD_vs_ECAFA
53,pm35,1,123,0.008130081300813009,1.0,0.06633333333333333,0.053066666666666665,138,0.007246376811594203,1.0,0.995,0.8955,32,0.03125,1.0,0.995,0.8955,0.8424333333333333,0.8424333333333333,0.0,0.9286666666666666,0.0
95,pw3.2,1,58,0.017241379310344827,1.0,0.0995,0.08955,39,0.02564102564102564,1.0,0.995,0.796,37,0.02702702702702703,1.0,0.995,0.8955,0.70645,0.8059499999999999,0.09949999999999992,0.8955,0.0
114,w3,2,108,0.009259259259259259,0.5,0.10136111111111115,0.07095277777777781,77,0.025974025974025976,1.0,0.4975,0.32358116883116883,56,0.03571428571428571,1.0,0.8283333333333331,0.546955357142857,0.252628391053391,0.4760025793650792,0.2233741883116882,0.726972222222222,0.33083333333333315
69,phclr,1,43,0.023255813953488372,1.0,0.4975,0.44775,63,0.015873015873015872,1.0,0.995,0.8955,48,0.020833333333333332,1.0,0.995,0.8955,0.44775,0.44775,0.0,0.4975,0.0
74,p8,2,74,0.013513513513513514,0.5,0.02594594594594595,0.023351351351351357,71,0.028169014084507043,1.0,0.03209677419354837,0.026834961381190358,50,0.02,0.5,0.5000999999999998,0.45008999999999977,0.003483610029839001,0.4267386486486484,0.4232550386188094,0.4741540540540538,0.4680032258064514
19,pl15,7,175,0.02857142857142857,0.7142857142857143,0.3414824224224223,0.2685761484710797,176,0.03977272727272727,1.0,0.7931428571428571,0.5734945109577921,123,0.056910569105691054,1.0,0.9327777777777779,0.6947502642276423,0.30491836248671245,0.4261741157565626,0.12125575326985016,0.5912953553553556,0.13963492063492078
110,pcl,12,326,0.027607361963190184,0.75,0.3003517368858366,0.25033805121143715,280,0.039285714285714285,0.9166666666666666,0.4165989014160444,0.3588952466327324,189,0.0582010582010582,0.9166666666666666,0.7372642857142857,0.6500826845238095,0.10855719542129527,0.3997446333123723,0.29118743789107704,0.4369125488284491,0.3206653842982413
80,w41,1,81,0.012345679012345678,1.0,0.4975,0.398,53,0.018867924528301886,1.0,0.995,0.6965,46,0.021739130434782608,1.0,0.995,0.796,0.2985,0.398,0.09950000000000003,0.4975,0.0
67,pw4.5,1,20,0.0,0.0,0.0,0.0,54,0.018518518518518517,1.0,0.02618421052631579,0.02356578947368421,51,0.0196078431372549,1.0,0.4975,0.398,0.02356578947368421,0.398,0.3744342105263158,0.4975,0.4713157894736842
2,ph4.2,3,189,0.005291005291005291,0.3333333333333333,0.009730952380952382,0.0077847619047619054,155,0.01935483870967742,1.0,0.40622950819672127,0.3663697054468535,99,0.020202020202020204,0.6666666666666666,0.5034000000000001,0.4027200000000001,0.3585849435420916,0.3949352380952382,0.03635029455314659,0.4936690476190477,0.0971704918032788
