class_id,class_name,Instances,YOLOv11_baseline_Predictions,YOLOv11_baseline_Precision,YOLOv11_baseline_Recall,YOLOv11_baseline_AP50,YOLOv11_baseline_AP50-95,ECAFA_YOLO_Predictions,ECAFA_YOLO_Precision,ECAFA_YOLO_Recall,ECAFA_YOLO_AP50,ECAFA_YOLO_AP50-95,ECAFA_YOLO_KD_Predictions,ECAFA_YOLO_KD_Precision,ECAFA_YOLO_KD_Recall,ECAFA_YOLO_KD_AP50,ECAFA_YOLO_KD_AP50-95,AP50-95_improvement_ECAFA_vs_baseline,AP50-95_improvement_KD_vs_baseline,AP50-95_improvement_KD_vs_ECAFA,AP50_improvement_KD_vs_baseline,AP50_improvement_KD_vs_ECAFA
23,iz,2,120,0.0,0.0,0.0,0.0,83,0.012048192771084338,0.5,0.08557228915662651,0.008557228915662652,55,0.0,0.0,0.0,0.0,0.008557228915662652,0.0,-0.008557228915662652,0.0,-0.08557228915662651
30,pm40,1,62,0.0,0.0,0.0,0.0,82,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,w34,1,48,0.0,0.0,0.0,0.0,60,0.016666666666666666,1.0,0.07653846153846157,0.030615384615384628,30,0.0,0.0,0.0,0.0,0.030615384615384628,0.0,-0.030615384615384628,0.0,-0.07653846153846157
59,w18,1,56,0.0,0.0,0.0,0.0,73,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,pt,1,155,0.0064516129032258064,1.0,0.012756410256410257,0.01148076923076923,187,0.0,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,-0.01148076923076923,-0.01148076923076923,0.0,-0.012756410256410257,0.0
118,w46,1,48,0.020833333333333332,1.0,0.4975,0.199,62,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,-0.199,-0.199,0.0,-0.4975,0.0
113,phcs,1,58,0.017241379310344827,1.0,0.995,0.8955,107,0.009345794392523364,1.0,0.013819444444444443,0.012437499999999999,71,0.0,0.0,0.0,0.0,-0.8830625,-0.8955,-0.012437499999999999,-0.995,-0.013819444444444443
91,ph2.8,1,26,0.0,0.0,0.0,0.0,13,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,ph2,1,86,0.0,0.0,0.0,0.0,67,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,p15,1,86,0.0,0.0,0.0,0.0,122,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
